重要性排名,参数,参数键,层级,可控性,第180天价格最小值,第180天价格最大值,第180天价格波动范围,相对基准最大上行,相对基准最大下行,外推期最高价波动范围,第180天剩余缺口波动范围,综合敏感度得分,最高风险等级,最高价格扰动,最低价格扰动,解释
1,封锁风险衰减速度,BLOCKADE_RISK_DECAY,长期机制透明层,中,84.55930659502027,98.92084979528947,14.361543200269196,6.495372959578361,-7.866170240690835,7.3562692019688996,0.0,17.6718643411552,低,0.002,0.008,封锁风险溢价随时间被市场吸收的速度，用于检验长期路径是否依赖隐藏指数衰减常数。
2,地缘风险权重,risk_weight,市场价格形成层,低,88.59666990324965,96.99554352011259,8.398873616862943,4.570066684401482,-3.828806932461461,11.437369589325158,0.0,13.545689932059265,低,3.20,1.85,市场把供应中断解释为长期地缘风险溢价的强度。
3,不确定性与制度风险强度,uncertainty_floor,市场价格形成层,中,90.3245975075919,95.24685012833926,4.922252620747358,2.8213732926281523,-2.1008793281192055,11.328124110679056,0.0,10.019908470552934,低,0.34,0.17,前期冲击不确定性和持续封锁制度风险的共同强度。
4,制度风险占比,REGIME_RISK_SHARE,长期机制透明层,中,90.08090873938482,95.11965379616977,5.038745056784947,2.6941769604586625,-2.3445680963262845,3.03953912202806,0.0,6.406537661697574,低,1.30,0.50,持续封锁制度风险对长期风险溢价的贡献强度。
5,供应中断量,supply_interruption,题面物理层,低,91.68405295900331,94.94643417809962,3.262381219096312,2.520957342388513,-0.741423876707799,5.965924596582298,0.0,5.947047287558346,低,1800,1400,封锁实际造成的供应缺口，是价格上行压力的源头变量。
6,长期需求弹性,long_elasticity,题面需求层,低,90.39447274885315,93.81330484581375,3.4188320969605996,1.3878280101026377,-2.031004086857962,0.9761621899864679,0.0,3.85810508245451,低,-0.35,-0.10,中长期高价下需求收缩强弱，绝对值越大代表需求越容易下降。
7,信心恢复后风险底座,REGIME_CONFIDENCE_DECAY_FLOOR,长期机制透明层,中,91.3304713993152,93.58921586093805,2.258744461622854,1.1637390252269455,-1.0950054363959083,0.05089804920784502,0.0,2.2816485837663842,低,0.60,0.20,市场逐步确认缓冲有效后，持续封锁风险仍保留的最低比例。
8,冲击不确定性占比,SHOCK_UNCERTAINTY_SHARE,长期机制透明层,中,91.79391699631446,93.05609110891655,1.2621741126020822,0.6306142732054383,-0.631559839396644,1.8212787033340163,0.0,2.0817495291023898,低,0.65,0.25,长期不确定性中由前期冲击再定价贡献的比例，用于检验冲击溢价强弱。
9,SPR释放上限,spr_max_release,题面政策缓冲层,高,92.42538458759226,93.07394793623749,0.6485633486452258,0.648471100526379,-9.224811884678275e-05,0.4990425258867077,15.184943492402454,0.9035023722790492,低,200,450,战略石油储备释放能力，直接缓冲供应缺口。
10,绕道运输能力,route_max_capacity,题面物理缓冲层,中,92.42547683571114,92.42548872065034,1.1884939198125721e-05,1.188493922654743e-05,2.842170943040401e-14,0.8577472545933347,0.0,0.38599814950619876,低,300,237,绕道、替代航线和运输组织恢复形成的额外供给能力。
11,预期修复强度,relief_discount_strength,市场价格形成层,中,92.42547683571107,92.42547683571125,1.8474111129762605e-13,1.4210854715202004e-13,-4.263256414560601e-14,0.5114042162940109,0.0,0.23013189733248965,低,0.06,0.30,市场确认运输、库存和政策缓冲后给出的再定价折价。
12,恐慌衰减速度,fear_decay,题面行为层,中,92.42547682842229,92.42937576012007,0.00389893169777622,0.0038989244089577824,-7.288818437700684e-09,0.3712966880030564,0.0,0.1709824412991516,低,0.040,0.160,冲突初期恐慌溢价消退速度，越大表示市场更快冷静。
13,过剩供给回归强度,OVERSUPPLY_REVERSION_SCALE,长期机制透明层,中,92.38426988977507,92.45213820999862,0.06786832022355327,0.026661374287513695,-0.041206945936039574,0.12250725726403289,0.0,0.12299658599236807,低,0.80,2.20,供给超过需求时向下修正目标价格的机制强度。
14,SPR启动延迟,spr_delay_days,题面政策缓冲层,高,92.42543563469422,92.42548872090538,5.3086211153186014e-05,1.1885194268757004e-05,-4.120101688442901e-05,0.1716683600374438,0.0,0.07730384822800289,低,7天,14天,战略储备从冲击发生到释放启动的时间延迟。
15,SPR收缩起点,SPR_TAPER_START_DAY,长期机制透明层,高,92.4254768356449,92.42547683571341,6.851053058198886e-11,2.3021584638627246e-12,-6.620837211812614e-11,0.04206887589162989,0.0,0.01893099421974398,低,60天,105天,长期外推中 SPR 从计划释放转向缺口驱动收缩的开始时间。
16,绕道恢复耗时,route_ramp_days,题面物理缓冲层,中,92.42547683571111,92.42548872090538,1.1885194268757004e-05,1.1885194268757004e-05,0.0,0.03843675194241314,0.0,0.01730842356835467,低,14天,26天,绕道运输从启动到达到最大能力所需时间。
