排名,模型类别,模型,证据来源,角色定位,说明,RMSE,MAE,MAPE,方向命中率,最大绝对误差,第60天价格,第90天价格,第120天价格,第180天价格,第180天价格_P05,第180天价格_P50,第180天价格_P95,外推期最高价,外推期均价,突破120概率,突破130概率,二次跳涨风险,质量评分,相对最优RMSE差值
1,短期机器学习辅助,机制+阶段Ridge修正,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,仅在高位平台与中期再定价两个残差薄弱段启用Ridge收益率修正,3.180671757413119,2.6871553208536314,2.6884882249592588,68.88888888888889,6.076466861828322,,,,,,,,,,,,,,0.0
2,短期机器学习辅助,机制+Ridge收益率修正,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,将历史Ridge预测的正常收益变化叠加到机制路径,3.3341092371605368,2.804929403154594,2.8121419733859883,68.88888888888889,6.413027432057916,,,,,,,,,,,,,,0.15343747974741762
3,短期机器学习辅助,在线残差校正模型,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,只使用滞后误差的一阶在线校正,3.344342439102926,2.7511965166991783,2.7476358576515865,60.0,6.5413027263789445,,,,,,,,,,,,,,0.16367068168980703
4,短期拟合/预测,本文短期动态模型,output/calibration/短期模型基准对比.csv,短期误差对比,阶段4综合最优参数；递推过程中不喂入当日真实价格,3.3800142208570305,2.756404510609999,2.7553458276384384,66.66666666666666,7.235787658476099,,,,,,,,,,,,,,0.19934246344391138
5,短期机器学习辅助,分段感知在线校正模型,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,只使用滞后误差，并允许平台期/再定价期反馈强度不同,3.5141205606894004,2.891316760962489,2.882613229029271,53.333333333333336,9.145125501395697,,,,,,,,,,,,,,0.33344880327628124
6,短期拟合/预测,朴素上一日基准,output/calibration/短期模型基准对比.csv,短期误差对比,Random Walk：预测今日价格等于上一交易日真实价格,4.466514544240624,3.5699999999999994,3.540592156836684,46.666666666666664,10.819999999999991,,,,,,,,,,,,,,1.285842786827505
7,短期拟合/预测,"滚动ARIMA(1,1,0)基准",output/calibration/短期模型基准对比.csv,短期误差对比,每一步只用此前真实价格滚动拟合,4.526273722498156,3.666168547083734,3.633783647642709,46.666666666666664,10.750165401396416,,,,,,,,,,,,,,1.345601965085037
8,短期机器学习辅助,历史Ridge收益率模型,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,仅用2017-2026冲突前价格特征训练的一日收益率模型,4.557000883920063,3.733315463871069,3.729264277222456,51.11111111111111,10.47482937035666,,,,,,,,,,,,,,1.3763291265069437
9,短期拟合/预测,漂移随机游走基准,output/calibration/短期模型基准对比.csv,短期误差对比,上一日价格加最近历史平均日变化,4.838705842919107,3.9369057971014487,3.908239058761814,46.666666666666664,10.324000000000012,,,,,,,,,,,,,,1.6580340855059879
10,短期拟合/预测,三日均值基准,output/calibration/短期模型基准对比.csv,短期误差对比,只使用过去最多三日真实价格均值,5.179639603787195,4.158043478260869,4.1481752671396075,44.44444444444444,11.043333333333337,,,,,,,,,,,,,,1.998967846374076
