指标,数值,单位,解释
RMSE,3.439811749485179,美元/桶,越低越好；阶段 4 主校准指标
MAE,2.8548897149407795,美元/桶,越低越好；反映平均日度偏离
MAPE,2.8584575641089542,%,越低越好；便于和油价水平相对比较
SMAPE,2.8592066346845755,%,越低越好；对称相对误差
R2,0.8264993077937347,无量纲,越接近 1 越好；解释真实价格变动的比例
朴素上一日基准RMSE,4.466514544240624,美元/桶,以昨日真实价格预测今日价格的基准
Theil_U_vs_naive,0.7701333367246428,无量纲,小于 1 表示优于朴素基准
相对朴素基准RMSE改善率,22.986666327535723,%,越高越好
方向命中率,64.44444444444444,%,预测涨跌方向与真实涨跌方向一致的比例
残差一阶自相关,0.2535827902533701,无量纲,绝对值越低越好；用于判断误差是否持续偏向
最大绝对误差,7.429552950754243,美元/桶,极端单日偏差
峰值误差,-3.6396745742061256,美元/桶,模拟峰值减实际峰值
末日误差,0.11032542579387439,美元/桶,窗口最后一天的模型偏差
